barcode,variant_id,product_id,product_title,variant_title,sku,product_type,vendor,tags,price,unit_cost,inventory_quantity,status
887521155637,gid://shopify/ProductVariant/43943574044737,gid://shopify/Product/7902658723905,2025-26 Bowman University Best Basketball Hobby,Default Title,,Sealed Wax,Topps,"2026, basketball, Basketball Box, In-Stock, New, Sealed Basketball, Topps",274.99,269.99,19,ACTIVE
746134204913,gid://shopify/ProductVariant/43943811940417,gid://shopify/Product/7902729044033,2026 Panini FIFA World Cup Soccer 25-Pack Sticker Box,Default Title,,Sealed Wax,Panini,"In-Stock, New, Panini, Sealed Soccer",44.99,32.5,8,ACTIVE
0820650860911,gid://shopify/ProductVariant/43944098955329,gid://shopify/Product/7902811881537,Pokemon Silver Tempest Booster Unlimited,Default Title,,Booster Box,Pokemon,"Booster Box, In-Stock, New, Pokemon, Sealed Pokemon",474.99,,1,ACTIVE
746134204517,gid://shopify/ProductVariant/43950089470017,gid://shopify/Product/7903723192385,2026 Panini FIFA World Cup Soccer Sticker Hard Cover Album,Default Title,,Sealed Wax,Panini,"In-Stock, New, Panini, Sealed Soccer",9.99,9.75,1,ACTIVE
746134190704,gid://shopify/ProductVariant/43958799695937,gid://shopify/Product/7905203880001,2025 Panini Select WNBA Basketball Hobby Blaster,Default Title,,Sealed Wax,Panini,"2025-26, Basketball, Hobby, In-Stock, New, Panini, Sealed Basketball",39.99,24.5,20,ACTIVE
33262262,gid://shopify/ProductVariant/43961000722497,gid://shopify/Product/7905893056577,2026 Ball Star Fusion Baseball Pack,Default Title,,Sealed Wax,Shoeless Joe's Cards,"In-Stock, Sealed Baseball",19.99,11.25,8,ACTIVE
887521157112,gid://shopify/ProductVariant/43963204468801,gid://shopify/Product/7906680930369,2025-26 Topps Hoops Basketball Hobby Box,Default Title,,Sealed Wax,Topps,"2025-26, Basketball, In-Stock, New, Sealed Basketball, Topps",279.99,225.0,6,ACTIVE
887521156443,gid://shopify/ProductVariant/43967531647041,gid://shopify/Product/7908129636417,2025 Topps Finest Football Hobby Box,Default Title,,Sealed Wax,Topps,"football, Football Box, Football Cards, In-Stock, New, New Cards, Sealed Football, Topps",774.99,715.0,2,ACTIVE
746134187124,gid://shopify/ProductVariant/43972200366145,gid://shopify/Product/7909576769601,2025 Panini Phoenix Football Blaster Box,Default Title,,Sealed Wax,Panini,"2025, Football, In-Stock, Panini, Sealed Football",29.99,20.0,0,ACTIVE
887521158218,gid://shopify/ProductVariant/43985479008321,gid://shopify/Product/7912518680641,2026 Bowman Baseball Mega Box,Default Title,,Sealed Wax,Topps,"2025-26, Basketball, Bowman, In-Stock, New, Sealed Baseball, Topps",64.99,49.99,-18,ACTIVE
0196214154162,gid://shopify/ProductVariant/43986304663617,gid://shopify/Product/7912846819393,Pokemon Chaos Rising Booster Bundle Box,Default Title,PKM_ME_CHAOSRISING_BUNDLE,Booster Box,Pokemon,"Chaos-Rising, In-Stock, Mega-Evolution, new-release, PKM, PR/Bundle, Sealed Pokemon",49.99,38.0,2,ACTIVE
0196214154186,gid://shopify/ProductVariant/43986305089601,gid://shopify/Product/7912846950465,Pokemon Chaos Rising Booster Box,Default Title,PKM_ME_CHAOSRISING_BOOSTER,Booster Box,Pokemon,"Booster-Box, Chaos-Rising, In-Stock, Mega-Evolution, new-release, PKM, Sealed Pokemon",254.99,99.75,0,ACTIVE
0196214154117,gid://shopify/ProductVariant/43986305122369,gid://shopify/Product/7912847048769,Pokemon Chaos Rising Elite Trainer Box,Default Title,PKM_ME_CHAOSRISING_ETB,Elite Trainer Box,Pokemon,"Chaos-Rising, ETB, In-Stock, Mega-Evolution, Sealed Pokemon",84.99,32.25,8,ACTIVE
0196214154179,gid://shopify/ProductVariant/43986595020865,gid://shopify/Product/7912896266305,Pokemon Chaos Rising Booster Pack,Default Title,,Booster Pack,Pokemon,"Chaos-Rising, Mega-Evolution",7.99,2.77,-90,ACTIVE
053334837293,gid://shopify/ProductVariant/43990577479745,gid://shopify/Product/7913849913409,2024-25 Upper Deck DC Annual Hobby Box,Default Title,,Sealed Wax,Upper Deck,"hobby, Hobby box, In-Stock, Marvel, Sealed Entertainment",89.99,72.0,4,ACTIVE
887521152384,gid://shopify/ProductVariant/43993428688961,gid://shopify/Product/7914393665601,2025 Topps 30 Years Of Toy Story Hobby Box,Default Title,TOPPS_2026_30YEARS_TS_HOBBY,Sealed Wax,Topps,"2025, Hobby, post-release, sale, Topps, Toy-Story",649.99,550.0,0,ACTIVE
746134155383,gid://shopify/ProductVariant/43994188939329,gid://shopify/Product/7914654433345,2023 Panini Select Football Hobby Box,Default Title,15515,Sealed Wax,Panini,"eBay20%, Football Cards, OOS, Yesteryear",699.99,580.0,0,ACTIVE
887521154418,gid://shopify/ProductVariant/44002621063233,gid://shopify/Product/7916846252097,2025-26 Topps Signature Class Basketball Hobby Box,Default Title,,Sealed Wax,Topps,"2025-26, Basketball, Boxes, Topps",424.99,549.99,1,ACTIVE
887521154470,gid://shopify/ProductVariant/44009762979905,gid://shopify/Product/7918726873153,2025-26 Topps Signature Class Basketball Hobby Jumbo Box,Default Title,,Sealed Wax,Topps,"2025-26, Basketball, Boxes, Topps",899.99,899.99,1,ACTIVE
053334001090,gid://shopify/ProductVariant/44009861808193,gid://shopify/Product/7918747877441,2026 Upper Deck Fleer Ultra Golf Hobby Box,Default Title,,Sealed Wax,Upper Deck,"Fleer, Golf, New, Upper Deck",134.99,90.25,2,ACTIVE
053334234184,gid://shopify/ProductVariant/44011063148609,gid://shopify/Product/7919057567809,2025-26 Upper Deck AHL Hockey Hobby Box,Default Title,,Sealed Wax,Upper Deck,"2025-26, hobby, Hobby box, Hockey, In-Stock, New, Sealed Hockey, Upper Deck",79.99,60.0,2,ACTIVE
053334095365,gid://shopify/ProductVariant/44011153555521,gid://shopify/Product/7919091875905,2025-26 Upper Deck Extended Series Hockey Hobby Box,Default Title,,Sealed Wax,Upper Deck,"2025-26, hobby, Hobby box, Hockey, In-Stock, New, Sealed Hockey, Upper Deck",164.99,84.75,3,ACTIVE
887521153480,gid://shopify/ProductVariant/44017536008257,gid://shopify/Product/7920604250177,2025 Topps Signature Class Football Blaster Box,Default Title,,Sealed Wax,Topps,"Autograph, Blaster, blaster box, football, NFL, Topps, topps signature class",39.99,29.99,15,ACTIVE
746134188718,gid://shopify/ProductVariant/44019978240065,gid://shopify/Product/7921776820289,2025 Panini Select Football Blaster Box,Default Title,,Sealed Wax,Panini,"Blaster, blaster box, Football Cards, In-Stock, Panini, Sealed Football",24.99,10.0,0,ACTIVE
0820650860553,gid://shopify/ProductVariant/44028114665537,gid://shopify/Product/7923849592897,Pokemon Lost Origin Booster Unlimited,Default Title,,Booster Box,Pokemon,"Booster Box, In-Stock, New, Pokemon, Sealed Pokemon",864.99,,0,ACTIVE
887521164479,gid://shopify/ProductVariant/44033596653633,gid://shopify/Product/7924712931393,2026 Topps Series 2 Baseball Hobby Box,Default Title,,Sealed Wax,Topps,"2026, baseball, baseball box, box, Hobby Box",164.99,93.75,1,ACTIVE
887521164554,gid://shopify/ProductVariant/44033596850241,gid://shopify/Product/7924712964161,2026 Topps Series 2 Baseball Blaster,Default Title,,Sealed Wax,Topps,"2026, baseball, baseball box, blaster, box, new release",34.99,16.25,23,ACTIVE
887521153404,gid://shopify/ProductVariant/44033951236161,gid://shopify/Product/7924775419969,2025 Topps Signature Class Football Hobby Box,Default Title,17577,Sealed Wax,Topps,"football, Football Box, Football Cards, hobby, Hobby box, New Cards, Sealed Football",429.99,351.0,0,ACTIVE
887521164462,gid://shopify/ProductVariant/44038555107393,gid://shopify/Product/7925239611457,2026 Topps Series 2 Baseball Hobby Pack,Default Title,,Sealed Wax,Topps,"2026, baseball",7.99,4.69,-2,ACTIVE
053334155960,gid://shopify/ProductVariant/44038615793729,gid://shopify/Product/7925242527809,2025-26 Upper Deck CHL SP Game Used Hockey Hobby Box,Default Title,,Sealed Wax,Upper Deck,"2025-26, hobby, Hobby box, Hockey, In-Stock, New, Sealed Hockey, Upper Deck",134.99,105.0,5,ACTIVE
053334004428,gid://shopify/ProductVariant/44038653050945,gid://shopify/Product/7925243838529,2026 Upper Deck DC Platinum Blaster Box,Default Title,,Sealed Wax,Upper Deck,"New Cards, Non-Sport Cards, Upper Deck",24.99,16.0,10,ACTIVE
887521153534,gid://shopify/ProductVariant/44047389392961,gid://shopify/Product/7927748788289,2025 Topps Signature Class Football Mega Box,Default Title,,Sealed Wax,Topps,"Football, Retail",74.99,60.0,17,ACTIVE
746134196607,gid://shopify/ProductVariant/44056399347777,gid://shopify/Product/7931132510273,2026 Panini Donruss Baseball Blaster Box,Default Title,,Sealed Wax,Panini,"Baseball Cards, In-Stock, Sealed Baseball",27.95,17.5,19,ACTIVE
