product_id,variant_id,product_title,product_created_at,product_status,product_type,variant_title,sku,barcode,price,compare_at_price,cost,inventory_quantity,sold_7d,sold_30d,sold_60d
gid://shopify/Product/7842588131393,gid://shopify/ProductVariant/43650537062465,2025 Topps Chrome MLS Major League Soccer Hobby Box Pack,,ACTIVE,Sealed Wax,Default Title,,887521148301,8.99,,8.65,1,0,0,0
gid://shopify/Product/7846873825345,gid://shopify/ProductVariant/43660335218753,2025 Disney Wonder Mega Box,,ACTIVE,Sealed Wax,Default Title,,887521147199,39.99,,36,-4,0,0,0
gid://shopify/Product/7852322783297,gid://shopify/ProductVariant/43674761265217,2025 Parkside USWNT Thermal Soccer,,ACTIVE,Sealed Wax,Default Title,,850049910873,119.99,,92.5,1,0,0,0
gid://shopify/Product/7852323209281,gid://shopify/ProductVariant/43674762248257,2022-23 Upper Deck SP Authentic Hockey Hobby Box,,ACTIVE,Sealed Wax,Default Title,,05333412175,134.99,,129,-21,0,0,0
gid://shopify/Product/7852326355009,gid://shopify/ProductVariant/43674769522753,2022-23 Upper Deck Series 2 Hockey,,ACTIVE,Sealed Wax,Default Title,,053334131117,69.99,,42.5,20,0,0,0
gid://shopify/Product/7852327534657,gid://shopify/ProductVariant/43674771390529,2024-25 Upper Deck ICE Hockey Hobby Box,,ACTIVE,Sealed Wax,Default Title,,053334786904,139.99,,125,0,0,0,0
gid://shopify/Product/7863783063617,gid://shopify/ProductVariant/43713208254529,2025 Topps Star Wars Smugglers Outpost Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521144501,574.99,,530,2,0,0,0
gid://shopify/Product/7867699003457,gid://shopify/ProductVariant/43726894202945,2026 Topps Series 1 Baseball Celebration Pack,,ACTIVE,Sealed Wax,Default Title,,887521155064,5.99,,4.28,-7,0,0,0
gid://shopify/Product/7869991026753,gid://shopify/ProductVariant/43736401018945,2025 Topps Marvel Studios Chrome Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521151394,429.99,,375,2,0,0,0
gid://shopify/Product/7869994500161,gid://shopify/ProductVariant/43736431132737,Pokemon Surging Sparks Booster Bundle,,ACTIVE,Booster Pack,Default Title,,0820650859502,64.99,,53,2,0,0,0
